vces5,vces6,carddb1,carddb2,profiledmza,auditvces2,auditvces3,profiledmzb,auditvces7,auditvces8,auditvces9,auditvces10,auditvces11,auditvces12,auditvces13,auditvces14,auditvces15,auditvces16,profilesea,profilec,profiletaska,profiletaskb,profilea,profileb,profilec,upaytmyj1,upaytmyj2,upaytmyj3,upaytmyj4,upaytmyj5,profiledmzd
192.168.88.15,192.168.88.16,192.168.88.50,192.168.88.51,192.168.88.1,192.168.88.2,192.168.88.3,192.168.88.4,192.168.88.7,192.168.88.8,192.168.88.9,192.168.88.10,192.168.88.11,192.168.88.12,192.168.88.13,192.168.88.14,192.168.88.15,192.168.88.16,192.168.88.17,192.168.88.22,192.168.88.18,192.168.88.19,192.168.88.20,192.168.88.21,192.168.88.22,192.168.88.23,192.168.88.24,192.168.88.25,192.168.88.26,192.168.88.27,192.168.88.28
root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0,root 0
bin 1,bin 1,daemon 1,daemon 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1,bin 1
daemon 2,daemon 2,bin 2,bin 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2,daemon 2
adm 3,adm 3,sys 3,sys 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3,adm 3
lp 4,lp 4,adm 4,adm 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4,lp 4
sync 5,sync 5,uucp 5,uucp 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5,sync 5
shutdown 6,shutdown 6,lp 9,lp 9,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6,shutdown 6
halt 7,halt 7,nuucp 11,nuucp 11,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7,halt 7
mail 8,mail 8,hpdb 27,hpdb 27,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8,mail 8
uucp 10,uucp 10,nobody -2,nobody -2,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10,uucp 10
operator 11,operator 11,www 30,www 30,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11,operator 11
games 12,games 12,cimsrvr 101,cimsrvr 101,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12,games 12
gopher 13,gopher 13,smbnull 102,smbnull 102,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13,gopher 13
ftp 14,ftp 14,opc_op 777,opc_op 777,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14,ftp 14
nobody 99,nobody 99,tftp 103,tftp 103,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99,nobody 99
dbus 81,dbus 81,hpsmh 104,hpsmh 104,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81,dbus 81
usbmuxd 113,usbmuxd 113,sfmdb 105,sfmdb 105,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113,usbmuxd 113
vcsa 69,vcsa 69,sshd 106,sshd 106,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69,vcsa 69
rpc 32,rpc 32,iwww 107,iwww 107,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32,rpc 32
rtkit 499,rtkit 499,owww 108,owww 108,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499,rtkit 499
avahi-autoipd 170,avahi-autoipd 170,oracle 600,oracle 600,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170,avahi-autoipd 170
abrt 173,abrt 173,grid 601,grid 601,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173,abrt 173
rpcuser 29,rpcuser 29,upay 110,upay 110,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29,rpcuser 29
nfsnobody 65534,nfsnobody 65534,monitor 109,monitor 109,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534,nfsnobody 65534
haldaemon 68,haldaemon 68,,shc 111,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68,haldaemon 68
gdm 42,gdm 42,,,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42,gdm 42
ntp 38,ntp 38,,,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38,ntp 38
apache 48,apache 48,,,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48,apache 48
saslauth 498,saslauth 498,,,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498,saslauth 498
postfix 89,postfix 89,,,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89,postfix 89
amandabackup 33,amandabackup 33,,,pulse 497,pulse 497,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33,amandabackup 33
pulse 497,pulse 497,,,sshd 74,sshd 74,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497,pulse 497
sshd 74,sshd 74,,,tcpdump 72,tcpdump 72,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74,sshd 74
dhcpd 177,tcpdump 72,,,hpsmh 500,hpsmh 500,tcpdump 72,dhcpd 177,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,dhcpd 177,dhcpd 177,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72,tcpdump 72
tcpdump 72,hpsmh 500,,,dhcpd 177,dhcpd 177,hpsmh 500,tcpdump 72,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,tcpdump 72,tcpdump 72,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500,hpsmh 500
hpsmh 500,monitor 502,,,audit_vces 501,upay 502,upay 502,vces 501,upay 502,monitor 502,monitor 502,monitor 502,monitor 502,monitor 502,monitor 502,monitor 501,hpsmh 500,monitor 502,audit_vces 501,audit_vces 501,audit_vces 501,audit_vces 501,audit_vces 501,audit_vces 501,audit_vces 501,upay 504,upay 503,upay 503,upay 602,upay 503,audit_vces 501
monitor 502,upay 503,,,monitor 502,shc 503,shc 503,upay 502,monitor 503,upay 503,upay 503,upay 503,upay 503,upay 503,upay 503,upay 502,monitor 502,upay 503,upay 502,upay 502,upay 502,upay 502,upay 502,upay 502,upay 502,,,,,upayftp 504,upay2_dr 502
upay 503,shc 504,,,upay 504,pansy 1677,pansy 1677,shc 503,shc 504,shc 504,shc 504,shc 504,shc 504,shc 504,shc 504,shc 503,upay 503,shc 504,mcftp 503,mcftp 503,mcftp 503,mcftp 503,mcftp 503,mcftp 503,mcftp 503,,,,,,upay 503
shc 504,pansy 1677,,,mcftp 505,monitor 1678,monitor 1678,pansy 1677,pansy 1677,pansy 1677,pansy 1677,pansy 1677,pansy 1677,pansy 1677,pansy 1677,pansy 1677,shc 504,pansy 1677,monitor 504,monitor 504,monitor 504,monitor 504,oracle 504,monitor 504,monitor 504,,,,,,monitor 504
pansy 1677,liyy03 1571,,,,liyy03 1571,liyy03 1571,mcftp 1678,liyy03 1571,liyy03 1571,liyy03 1571,liyy03 1571,liyy03 1571,liyy03 1571,liyy03 1571,liyy03 1571,pansy 1677,liyy03 1571,cslugg 505,cszhoufb 505,csliuql 505,csliuql 505,monitor 505,proftp 505,cszhoufb 505,,,,,,
liyy03 1571,wanghui 1412,,,,wanghui 1412,wanghui 1412,monitor 1679,wanghui 1412,wanghui 1412,wanghui 1412,wanghui 1412,wanghui 1412,wanghui 1412,wanghui 1412,wanghui 1412,liyy03 1571,wanghui 1412,csyangw 506,csyusx 506,csxuwei 506,csxuwei 506,proftp 506,cslijie 506,csyusx 506,,,,,,
wanghui 1412,luoch 1088,,,,luoch 1472,luoch 1088,liyy03 1571,luoch 1088,luoch 1088,luoch 1088,luoch 1088,luoch 1088,luoch 1088,luoch 1088,luoch 1088,wanghui 1412,luoch 1088,csxuwei 507,cslijie 507,cslugg 507,cslugg 507,csliuql 507,csyusx 507,cslijie 507,,,,,,
luoch 1088,pancj 1695,,,,pancj 1695,pancj 1695,wanghui 1412,pancj 1695,pancj 1695,pancj 1695,pancj 1695,pancj 1695,pancj 1695,pancj 1695,pancj 1695,luoch 1088,pancj 1695,csliuql 509,,csyangw 508,csyangw 508,csxuwei 508,cszhoufb 508,,,,,,,
pancj 1695,quanyq 1796,,,,quanyq 1796,quanyq 1796,luoch 1088,quanyq 1796,quanyq 1796,quanyq 1796,quanyq 1796,quanyq 1796,quanyq 1796,quanyq 1796,quanyq 1796,pancj 1695,quanyq 1796,cslvnan 510,,cslvnan 510,cslvnan 510,cslugg 509,,,,,,,,
quanyq 1796,lixm 1574,,,,lixm 1574,lixm 1574,pancj 1695,lixm 1574,lixm 1574,lixm 1574,lixm 1574,lixm 1574,lixm 1574,lixm 1574,lixm 1574,quanyq 1796,lixm 1574,cszhoufb 511,,cslijie 511,csyusx 511,csyangw 510,,,,,,,,
lixm 1574,yangting 1059,,,,yangting 1059,yangting 1059,quanyq 1796,yangting 1059,yangting 1059,yangting 1059,yangting 1059,yangting 1059,yangting 1059,yangting 1059,yangting 1059,lixm 1574,yangting 1059,cslijie 512,,csyusx 512,cslijie 512,cslvnan 512,,,,,,,,
yangting 1059,liyi 1846,,,,liyi 1797,liyi 1846,lixm 1574,liyi 1846,liyi 1846,liyi 1846,liyi 1846,liyi 1846,liyi 1846,liyi 1846,liyi 1846,yangting 1059,liyi 1846,csyusx 513,,cszhoufb 513,cszhoufb 513,csyusx 513,,,,,,,,
liyi 1846,heliu 1848,,,,heliu 1799,heliu 1848,wangq 1283,heliu 1848,heliu 1848,heliu 1848,heliu 1848,heliu 1848,heliu 1848,heliu 1848,heliu 1848,liyi 1846,heliu 1848,,,,,cszhoufb 514,,,,,,,,
heliu 1848,vces 1849,,,,,ctbossftp 1849,yangting 1059,,,,,,,,,heliu 1848,vces 1849,,,,,cslijie 515,,,,,,,,
vces 1849,,,,,,cmiotftp 1850,liyi 1846,,,,,,,,,vces 1849,,,,,,,,,,,,,,
,,,,,,,heliu 1848,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ctbossftp 1849,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cmiotftp 1850,,,,,,,,,,,,,,,,,,,,,,,
